Patch_ID,Sheet,Cell_or_Range,Current_Value_or_Formula,Proposed_Value_or_Formula,Change_Type,Source_Path_or_URL,Source_Hash,Source_Page_or_Image,Exact_Excerpt,Confidence,Formula_Impact,Reconciliation_Impact,Address_Type,Reason,Risk,Decision
P-100,Title,Title!125 — Address cell,"P.O. Box 1888, Tulsa, Oklahoma","P.O. Box 1888, Tulsa, Oklahoma — Historic recital address (DECR 312/700-704); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: DECR 312/700-704; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-101,Title,Title!126 — Address cell,"804 World Building, Tulsa, Oklahoma","804 World Building, Tulsa, Oklahoma — Historic recital address (MD 89/424); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 89/424; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-102,Title,Title!127 — Address cell,"2100 National Bank of Tulsa Building, Tulsa, Oklahom","2100 National Bank of Tulsa Building, Tulsa, Oklahom — Historic recital address (DECR 333/239-248); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: DECR 333/239-248; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-103,Title,Title!128 — Address cell,"Palos Park, Illinois","Palos Park, Illinois — Historic recital address (MD 88/174); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 88/174; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-104,Title,Title!130 — Address cell,"Hobbs, New Mexico (city per 89/428 and the 1977 leas","Hobbs, New Mexico (city per 89/428 and the 1977 leas — Historic recital address (MD 89/428); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 89/428; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-105,Title,Title!131 — Address cell,"70 Pine Street, New York City, New York","70 Pine Street, New York City, New York — Historic recital address (MD 89/426); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 89/426; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-106,Title,Title!133 — Address cell,"310 South Michigan Ave., Chicago, Illinois","310 South Michigan Ave., Chicago, Illinois — Historic recital address (MD 88/172); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 88/172; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-107,Title,Title!134 — Address cell,"1610 East 29th, Tulsa, Oklahoma","1610 East 29th, Tulsa, Oklahoma — Historic recital address (MD 90/241); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 90/241; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-108,Title,Title!135 — Address cell,"Oil Capital Building, Tulsa, Oklahoma","Oil Capital Building, Tulsa, Oklahoma — Historic recital address (MD 89/87); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 89/87; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-109,Title,Title!136 — Address cell,"27 Duryea Road, Upper Montclair, New Jersey","27 Duryea Road, Upper Montclair, New Jersey — Historic recital address (MD 89/422); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 89/422; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-110,Title,Title!137 — Address cell,"413 South Main, Tulsa, Oklahoma","413 South Main, Tulsa, Oklahoma — Historic recital address (MD 90/153); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 90/153; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-111,Title,Title!138 — Address cell,"P.O. Box 1075, Oklahoma City, Oklahoma","P.O. Box 1075, Oklahoma City, Oklahoma — Historic recital address (MD 89/315); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: MD 89/315; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-112,Title,Title!147 — Address cell,"812 Palace Building, Tulsa, Oklahoma","812 Palace Building, Tulsa, Oklahoma — Historic recital address (MD 81/194); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 5",Vested: MD 81/194; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
